,label,level,tag,text,url
144,None,9,a,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
145,None,8,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
146,None,9,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
147,None,10,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
148,None,10,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
149,None,11,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
150,None,10,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
151,None,8,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
152,None,9,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
153,None,8,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
154,None,9,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
155,None,10,h3,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
156,None,11,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
157,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
158,None,10,h3,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
159,None,11,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
160,None,10,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
161,None,11,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
162,None,12,img,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
163,None,12,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
164,None,10,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
165,None,11,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
166,None,12,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
167,None,12,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
168,None,10,h3,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
169,None,11,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
170,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
171,None,10,h3,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
172,None,11,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
173,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
174,None,10,h3,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
175,None,11,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
176,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
177,None,11,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
178,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
179,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
180,None,11,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
181,None,10,blockquote,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
182,None,11,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
183,None,11,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
184,None,12,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
185,None,10,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
186,None,11,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
187,None,12,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
188,None,12,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
189,None,13,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
190,None,12,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
191,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
192,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
193,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
194,None,11,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
195,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
196,None,11,em,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
197,None,11,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
198,None,10,blockquote,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
199,None,11,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
200,None,9,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
201,None,10,a,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
202,None,9,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
203,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
204,None,10,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
205,None,11,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
206,None,9,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
207,None,10,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
208,None,11,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
209,None,11,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
210,None,12,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
211,None,11,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
212,None,9,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
213,None,10,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
214,None,9,footer,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
215,None,10,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
216,None,11,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
217,None,12,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
218,None,12,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
219,None,11,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
220,None,12,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
221,None,12,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
222,None,11,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
223,None,12,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
224,None,12,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
225,None,11,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
226,None,12,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
227,None,12,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
228,None,13,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
229,None,10,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
230,None,11,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
231,None,12,br,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
232,None,12,em,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
233,None,11,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
234,None,12,br,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
235,None,12,em,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
236,None,11,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
237,None,12,br,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
238,None,12,em,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
239,None,11,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
240,None,12,br,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
241,None,12,em,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
242,None,9,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
243,None,10,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
244,None,11,h3,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
245,None,10,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
246,None,11,article,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
247,None,12,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
248,None,13,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
249,None,14,div,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
250,None,13,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
251,None,14,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
252,None,15,i,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
253,None,14,h2,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
254,None,14,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
255,None,15,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
256,None,11,hr,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
257,None,11,article,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
258,None,12,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
259,None,13,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
260,None,14,div,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
261,None,13,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
262,None,14,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
263,None,14,h2,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
264,None,14,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
265,None,15,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
266,None,11,hr,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
267,None,11,article,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
268,None,12,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
269,None,13,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
270,None,14,div,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
271,None,13,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
